cow_id,cow_ebv,bull_id,bull_ebv,average_ebv,difference_ebv,inbreeding_level
RU00000090385,266.5,US00000000795,1867.9,1067.2,1601.4,0.0
DE00000090396,362.1,DE00000001742,1510.6,936.4,1148.5,0.0
NL00000090422,-582.8,US00000000795,1867.9,642.6,2450.7,0.0
GB00000090437,443.8,US00000003507,1782.9,1113.4,1339.1,0.0
DE00000090443,173.3,DE00000001742,1510.6,841.9,1337.3,0.0
GB00000090449,362.1,US00000003013,1528.6,945.4,1166.5,0.0
DE00000090473,12.0,US00000003507,1782.9,897.5,1770.9,0.0
GB00000090485,362.1,US00000003013,1528.6,945.4,1166.5,0.0
GB00000090564,-138.1,US00000000795,1867.9,864.9,2006.0,0.0
FR00000054223,-586.2,US00000003507,1782.9,598.4,2369.1,0.0
GB00000090611,362.1,US00000003013,1528.6,945.4,1166.5,0.0
US00000090675,173.3,DE00000001742,1510.6,841.9,1337.3,0.0
DE00000090689,-13.0,US00000003507,1782.9,885.0,1795.9,0.0
GB00000090736,319.0,US00000003507,1782.9,1051.0,1463.9,0.0
RU00000090778,362.1,US00000003013,1528.6,945.4,1166.5,0.0
US00000090783,345.2,US00000000795,1867.9,1106.6,1522.7,0.0
NL00000090809,362.1,US00000003013,1528.6,945.4,1166.5,0.0
DE00000090899,362.1,DE00000001742,1510.6,936.4,1148.5,0.0
GB00000090905,164.5,US00000000795,1867.9,1016.2,1703.4,0.0
FR00000090911,545.6,US00000000795,1867.9,1206.8,1322.3,0.0
US00000090917,362.1,DE00000001742,1510.6,936.4,1148.5,0.0
FR00000076418,-825.4,US00000003013,1528.6,351.6,2354.0,0.0
GB00000082055,-20.1,US00000000795,1867.9,923.9,1888.0,0.0
GB00000090013,362.1,US00000003013,1528.6,945.4,1166.5,0.0
GB00000090018,-320.9,US00000000795,1867.9,773.5,2188.8,0.0
FR00000090030,188.4,US00000003507,1782.9,985.7,1594.5,0.0
US00000090063,362.1,DE00000001742,1510.6,936.4,1148.5,0.0
US00000037764,634.7,DE00000080214,704.2,669.5,69.5,0.0
FR00000089762,24.1,US00000000795,1867.9,946.0,1843.8,0.0
FR00000089773,362.1,US00000003013,1528.6,945.4,1166.5,0.0
US00000089827,173.3,US00000003013,1528.6,850.9,1355.3,0.0
RU00000089830,-628.2,US00000000795,1867.9,619.9,2496.1,0.0
RU00000089849,362.1,US00000003013,1528.6,945.4,1166.5,0.0
NL00000089911,58.1,US00000003507,1782.9,920.5,1724.8,0.0
FR00000089918,-20.1,US00000000795,1867.9,923.9,1888.0,0.0
NL00000005443,919.7,US00000051108,477.0,698.4,442.7,0.0
NL00000008740,781.5,US00000051455,489.8,635.6,291.7,0.0
RU00000009078,1050.2,GB00000052082,480.4,765.3,569.8,0.0
DE00000018582,739.1,GB00000052082,480.4,609.7,258.7,0.0
RU00000036871,1158.3,US00000051108,477.0,817.7,681.3,0.0
RU00000042201,1164.6,US00000051455,489.8,827.2,674.8,0.0
FR00000037650,680.5,US00000051108,477.0,578.8,203.5,0.0
NL00000089790,162.4,US00000003507,1782.9,972.7,1620.5,0.0
FR00000089796,500.4,DE00000001742,1510.6,1005.5,1010.2,0.0
RU00000089798,173.3,DE00000001742,1510.6,841.9,1337.3,0.0
RU00000012513,807.4,GB00000052082,480.4,643.9,327.0,0.0
RU00000022075,397.2,NL00000050889,650.7,524.0,253.5,0.0
RU00000090259,-216.2,US00000003507,1782.9,783.4,1999.1,0.0
GB00000090272,362.1,DE00000001742,1510.6,936.4,1148.5,0.0
GB00000090273,432.7,US00000000795,1867.9,1150.3,1435.2,0.0
GB00000023765,679.8,GB00000052082,480.4,580.1,199.4,0.0
US00000093074,-13.0,US00000000795,1867.9,927.5,1880.9,0.0
NL00000093076,297.0,US00000003013,1528.6,912.8,1231.6,0.0
RU00000093089,-90.4,US00000003507,1782.9,846.3,1873.3,0.0
DE00000093138,362.1,US00000003013,1528.6,945.4,1166.5,0.0
GB00000093185,362.1,US00000003013,1528.6,945.4,1166.5,0.0
RU00000093211,362.1,US00000003013,1528.6,945.4,1166.5,0.0
FR00000004885,629.8,NL00000050788,691.9,660.9,62.1,0.0
NL00000005012,712.7,US00000051108,477.0,594.9,235.7,0.0
GB00000005037,722.0,NL00000050889,650.7,686.4,71.3,0.0
US00000005077,402.8,NL00000050788,691.9,547.4,289.1,0.0
DE00000005097,419.9,NL00000051437,772.5,596.2,352.6,0.0
FR00000005110,971.3,US00000051455,489.8,730.5,481.5,0.0
RU00000005128,419.9,NL00000051437,772.5,596.2,352.6,0.0
DE00000005206,518.5,DE00000080214,704.2,611.4,185.7,0.0
FR00000005217,609.1,NL00000050889,650.7,629.9,41.6,0.0
RU00000005222,661.4,GB00000052082,480.4,570.9,181.0,0.0
GB00000005223,1210.7,GB00000052082,480.4,845.5,730.3,0.0
US00000005225,603.4,NL00000051437,772.5,688.0,169.1,0.0
US00000005226,343.3,NL00000051437,772.5,557.9,429.2,0.0
FR00000005227,1093.0,GB00000052082,480.4,786.7,612.6,0.0
RU00000005257,397.2,NL00000051437,772.5,584.9,375.3,0.0
DE00000005295,650.4,NL00000051437,772.5,711.5,122.1,0.0
GB00000005302,458.2,NL00000051437,772.5,615.4,314.3,0.0
GB00000005304,998.9,US00000051455,489.8,744.4,509.1,0.0
NL00000005326,953.7,US00000051108,477.0,715.4,476.7,0.0
FR00000005328,726.7,US00000051108,477.0,601.9,249.7,0.0
RU00000005377,818.1,GB00000052082,480.4,649.2,337.7,0.0
US00000005391,667.2,US00000051455,489.8,578.5,177.4,0.0
US00000005508,665.1,US00000051455,489.8,577.4,175.3,0.0
RU00000005606,592.8,NL00000050788,691.9,642.4,99.1,0.0
US00000005664,900.2,GB00000052082,480.4,690.3,419.8,0.0
DE00000005672,1072.5,US00000051108,477.0,774.8,595.5,0.0
DE00000005678,703.2,US00000051455,489.8,596.5,213.4,0.0
FR00000005737,966.1,US00000051455,489.8,727.9,476.3,0.0
FR00000005739,1015.2,GB00000052082,480.4,747.8,534.8,0.0
FR00000005744,515.7,DE00000080214,704.2,610.0,188.5,0.0
NL00000005761,1207.5,GB00000052082,480.4,843.9,727.1,0.0
RU00000005789,458.2,NL00000051437,772.5,615.4,314.3,0.0
US00000005798,1055.5,GB00000052082,480.4,767.9,575.1,0.0
GB00000003618,885.1,US00000051455,489.8,687.4,395.3,0.0
DE00000005811,143.5,NL00000050788,691.9,417.7,548.4,0.0
NL00000005816,1067.4,GB00000052082,480.4,773.9,587.0,0.0
RU00000005820,883.1,US00000051455,489.8,686.4,393.3,0.0
NL00000005859,1178.5,US00000051108,477.0,827.8,701.5,0.0
US00000005860,-821.2,NL00000050788,691.9,-64.6,1513.1,0.0
US00000005874,749.3,NL00000050889,650.7,700.0,98.6,0.0
FR00000005883,359.4,NL00000050788,691.9,525.7,332.5,0.0
RU00000005891,429.8,NL00000050788,691.9,560.9,262.1,0.0
NL00000005898,1000.8,US00000051108,477.0,738.9,523.8,0.0
NL00000005940,397.2,NL00000050788,691.9,544.6,294.7,0.0
GB00000005944,819.8,GB00000052082,480.4,650.1,339.4,0.0
RU00000005945,494.8,NL00000050788,691.9,593.4,197.1,0.0
GB00000005950,947.4,GB00000052082,480.4,713.9,467.0,0.0
US00000005967,1159.2,GB00000052082,480.4,819.8,678.8,0.0
FR00000005968,1106.9,US00000051455,489.8,798.4,617.1,0.0
NL00000005972,670.9,US00000051455,489.8,580.4,181.1,0.0
RU00000006124,540.8,NL00000050788,691.9,616.4,151.1,0.0
FR00000006126,969.5,GB00000052082,480.4,724.9,489.1,0.0
FR00000006131,481.9,NL00000051437,772.5,627.2,290.6,0.0
GB00000006149,369.8,NL00000050788,691.9,530.9,322.1,0.0
GB00000006199,571.5,NL00000050788,691.9,631.7,120.4,0.0
US00000006228,1601.6,GB00000052082,480.4,1041.0,1121.2,0.0
FR00000006229,690.0,GB00000052082,480.4,585.2,209.6,0.0
FR00000006409,534.0,NL00000050788,691.9,613.0,157.9,0.0
DE00000006431,482.7,DE00000080214,704.2,593.5,221.5,0.0
RU00000006433,1100.1,US00000051455,489.8,794.9,610.3,0.0
DE00000006437,369.8,NL00000050788,691.9,530.9,322.1,0.0
RU00000006445,918.0,GB00000052082,480.4,699.2,437.6,0.0
FR00000006482,500.1,DE00000080214,704.2,602.2,204.1,0.0
US00000006490,573.8,NL00000050788,691.9,632.9,118.1,0.0
US00000006502,43.4,NL00000050788,691.9,367.7,648.5,0.0
RU00000006504,767.2,GB00000052082,480.4,623.8,286.8,0.0
GB00000006512,781.7,US00000051108,477.0,629.4,304.7,0.0
GB00000006548,903.6,US00000051455,489.8,696.7,413.8,0.0
FR00000006552,670.7,US00000051108,477.0,573.9,193.7,0.0
DE00000006562,-287.0,NL00000050788,691.9,202.5,978.9,0.0
US00000006573,823.2,GB00000052082,480.4,651.8,342.8,0.0
US00000006574,626.7,DE00000080214,704.2,665.5,77.5,0.0
GB00000006586,419.9,NL00000051437,772.5,596.2,352.6,0.0
FR00000006587,484.5,DE00000080214,704.2,594.4,219.7,0.0
FR00000006651,397.2,NL00000050788,691.9,544.6,294.7,0.0
GB00000006655,1228.2,GB00000052082,480.4,854.3,747.8,0.0
NL00000006666,895.7,US00000051108,477.0,686.4,418.7,0.0
RU00000007287,343.3,NL00000051437,772.5,557.9,429.2,0.0
US00000007300,343.3,NL00000051437,772.5,557.9,429.2,0.0
GB00000007309,717.2,US00000051455,489.8,603.5,227.4,0.0
FR00000007344,399.1,DE00000080214,704.2,551.7,305.1,0.0
US00000007351,791.8,GB00000052082,480.4,636.1,311.4,0.0
DE00000007352,486.8,NL00000050788,691.9,589.4,205.1,0.0
US00000007353,809.3,US00000051455,489.8,649.5,319.5,0.0
US00000007354,863.4,GB00000052082,480.4,671.9,383.0,0.0
FR00000007355,494.8,NL00000050788,691.9,593.4,197.1,0.0
GB00000007368,261.6,NL00000050889,650.7,456.2,389.1,0.0
GB00000007377,1127.5,GB00000052082,480.4,803.9,647.1,0.0
NL00000007414,397.2,NL00000050788,691.9,544.6,294.7,0.0
NL00000007433,757.7,US00000051108,477.0,617.4,280.7,0.0
DE00000007441,1164.1,US00000051455,489.8,826.9,674.3,0.0
DE00000007481,303.1,DE00000080214,704.2,503.7,401.1,0.0
NL00000007545,638.7,NL00000050889,650.7,644.7,12.0,0.0
GB00000007546,614.3,NL00000051437,772.5,693.4,158.2,0.0
DE00000007575,596.7,DE00000080214,704.2,650.5,107.5,0.0
RU00000007595,-31.7,DE00000080214,704.2,336.3,735.9,0.0
FR00000007604,1312.8,US00000051108,477.0,894.9,835.8,0.0
RU00000007626,909.4,GB00000052082,480.4,694.9,429.0,0.0
NL00000007637,886.3,NL00000050889,650.7,768.5,235.6,0.0
RU00000007640,948.4,GB00000052082,480.4,714.4,468.0,0.0
DE00000007642,843.8,GB00000052082,480.4,662.1,363.4,0.0
FR00000007644,419.9,NL00000051437,772.5,596.2,352.6,0.0
GB00000007697,61.8,NL00000050889,650.7,356.3,588.9,0.0
DE00000007794,842.0,GB00000052082,480.4,661.2,361.6,0.0
RU00000007796,788.3,NL00000050889,650.7,719.5,137.6,0.0
NL00000007840,985.9,US00000051455,489.8,737.9,496.1,0.0
DE00000007853,515.9,NL00000051437,772.5,644.2,256.6,0.0
GB00000007915,912.8,NL00000050889,650.7,781.8,262.1,0.0
RU00000007932,709.1,US00000051455,489.8,599.4,219.3,0.0
NL00000007939,415.7,DE00000080214,704.2,560.0,288.5,0.0
GB00000007959,1219.1,US00000051455,489.8,854.4,729.3,0.0
DE00000007962,587.3,NL00000051437,772.5,679.9,185.2,0.0
RU00000006728,800.7,US00000051108,477.0,638.9,323.7,0.0
GB00000006734,583.1,NL00000050889,650.7,616.9,67.6,0.0
DE00000006764,102.4,NL00000050889,650.7,376.6,548.3,0.0
NL00000006773,409.5,DE00000080214,704.2,556.9,294.7,0.0
US00000006805,625.8,NL00000050788,691.9,658.9,66.1,0.0
US00000006846,651.6,US00000051455,489.8,570.7,161.8,0.0
GB00000006915,494.8,NL00000050788,691.9,593.4,197.1,0.0
DE00000006916,343.3,NL00000051437,772.5,557.9,429.2,0.0
DE00000007993,596.1,NL00000050889,650.7,623.4,54.6,0.0
NL00000008020,679.2,US00000051455,489.8,584.5,189.4,0.0
US00000008040,156.3,NL00000050788,691.9,424.1,535.6,0.0
RU00000008055,524.6,DE00000080214,704.2,614.4,179.6,0.0
RU00000008086,602.0,NL00000050889,650.7,626.4,48.7,0.0
RU00000008092,893.4,GB00000052082,480.4,686.9,413.0,0.0
DE00000008125,506.2,NL00000051437,772.5,639.4,266.3,0.0
DE00000008128,592.4,NL00000051437,772.5,682.5,180.1,0.0
FR00000008132,1076.3,US00000051455,489.8,783.1,586.5,0.0
FR00000008138,8.3,DE00000080214,704.2,356.3,695.9,0.0
NL00000008154,715.6,US00000051455,489.8,602.7,225.8,0.0
US00000008157,624.1,NL00000050889,650.7,637.4,26.6,0.0
DE00000008165,528.0,NL00000050889,650.7,589.4,122.7,0.0
FR00000004266,552.4,NL00000050788,691.9,622.2,139.5,0.0
GB00000006918,1032.0,GB00000052082,480.4,756.2,551.6,0.0
RU00000006920,551.9,NL00000051437,772.5,662.2,220.6,0.0
US00000006921,858.0,GB00000052082,480.4,669.2,377.6,0.0
NL00000006922,96.3,DE00000080214,704.2,400.3,607.9,0.0
GB00000006924,674.2,US00000051455,489.8,582.0,184.4,0.0
RU00000006925,1020.2,GB00000052082,480.4,750.3,539.8,0.0
DE00000006927,343.3,NL00000051437,772.5,557.9,429.2,0.0
DE00000006928,1309.9,US00000051455,489.8,899.9,820.1,0.0
NL00000006929,569.9,NL00000051437,772.5,671.2,202.6,0.0
DE00000006930,1277.1,US00000051455,489.8,883.4,787.3,0.0
RU00000006931,1007.4,GB00000052082,480.4,743.9,527.0,0.0
NL00000006932,282.2,NL00000051437,772.5,527.4,490.3,0.0
GB00000006933,494.8,NL00000050788,691.9,593.4,197.1,0.0
NL00000006935,1088.5,US00000051108,477.0,782.8,611.5,0.0
NL00000006936,311.7,DE00000080214,704.2,508.0,392.5,0.0
FR00000006937,331.4,NL00000050889,650.7,491.1,319.3,0.0
US00000006938,1371.3,US00000051108,477.0,924.2,894.3,0.0
NL00000006939,946.8,US00000051108,477.0,711.9,469.8,0.0
DE00000006940,343.3,NL00000051437,772.5,557.9,429.2,0.0
RU00000006941,720.8,GB00000052082,480.4,600.6,240.4,0.0
DE00000006944,1116.8,US00000051108,477.0,796.9,639.8,0.0
GB00000006946,343.3,NL00000051437,772.5,557.9,429.2,0.0
US00000006947,891.4,GB00000052082,480.4,685.9,411.0,0.0
DE00000006948,1073.0,NL00000050889,650.7,861.9,422.3,0.0
NL00000006949,398.4,NL00000050788,691.9,545.2,293.5,0.0
NL00000006950,805.1,GB00000052082,480.4,642.7,324.7,0.0
US00000006951,1123.1,US00000051455,489.8,806.4,633.3,0.0
NL00000007045,824.0,NL00000050889,650.7,737.4,173.3,0.0
NL00000007083,463.5,DE00000080214,704.2,583.9,240.7,0.0
NL00000007118,773.8,GB00000052082,480.4,627.1,293.4,0.0
US00000007121,1074.3,US00000051108,477.0,775.7,597.3,0.0
NL00000007136,876.2,GB00000052082,480.4,678.3,395.8,0.0
GB00000007158,505.5,DE00000080214,704.2,604.9,198.7,0.0
DE00000004276,629.3,NL00000051437,772.5,700.9,143.2,0.0
US00000004288,652.4,GB00000052082,480.4,566.4,172.0,0.0
NL00000004289,486.3,NL00000051437,772.5,629.4,286.2,0.0
GB00000004301,925.9,US00000051455,489.8,707.9,436.1,0.0
GB00000008190,1216.3,US00000051455,489.8,853.1,726.5,0.0
US00000008206,369.8,NL00000050788,691.9,530.9,322.1,0.0
DE00000008215,921.6,US00000051455,489.8,705.7,431.8,0.0
GB00000008216,1267.4,GB00000052082,480.4,873.9,787.0,0.0
FR00000008225,1150.7,NL00000050889,650.7,900.7,500.0,0.0
NL00000008267,959.7,US00000051108,477.0,718.4,482.7,0.0
RU00000008285,188.9,DE00000080214,704.2,446.6,515.3,0.0
NL00000008296,965.1,US00000051455,489.8,727.4,475.3,0.0
GB00000008299,1007.3,US00000051455,489.8,748.5,517.5,0.0
DE00000008309,764.2,GB00000052082,480.4,622.3,283.8,0.0
US00000008310,494.8,NL00000050788,691.9,593.4,197.1,0.0
RU00000008312,596.1,NL00000050889,650.7,623.4,54.6,0.0
RU00000008314,971.3,US00000051455,489.8,730.5,481.5,0.0
NL00000004377,1139.3,US00000051108,477.0,808.2,662.3,0.0
DE00000004383,977.3,US00000051455,489.8,733.5,487.5,0.0
RU00000004385,419.9,NL00000051437,772.5,596.2,352.6,0.0
DE00000004407,515.8,NL00000050788,691.9,603.9,176.1,0.0
GB00000004422,707.2,US00000051455,489.8,598.5,217.4,0.0
RU00000004428,687.0,NL00000050889,650.7,668.9,36.3,0.0
FR00000004432,963.3,NL00000050889,650.7,807.0,312.6,0.0
FR00000007218,748.6,US00000051455,489.8,619.2,258.8,0.0
RU00000007232,801.5,GB00000052082,480.4,640.9,321.1,0.0
NL00000007259,744.4,GB00000052082,480.4,612.4,264.0,0.0
NL00000009101,604.5,DE00000080214,704.2,654.4,99.7,0.0
RU00000009103,896.4,GB00000052082,480.4,688.4,416.0,0.0
RU00000009142,961.1,US00000051455,489.8,725.4,471.3,0.0
DE00000009143,563.1,NL00000050889,650.7,606.9,87.6,0.0
RU00000009148,760.8,GB00000052082,480.4,620.6,280.4,0.0
FR00000009173,835.1,GB00000052082,480.4,657.7,354.7,0.0
US00000009197,943.1,US00000051455,489.8,716.4,453.3,0.0
RU00000008481,1253.0,US00000051455,489.8,871.4,763.2,0.0
RU00000008482,1454.8,US00000051108,477.0,965.9,977.8,0.0
NL00000008505,369.2,NL00000050788,691.9,530.6,322.7,0.0
NL00000008506,1175.6,US00000051455,489.8,832.7,685.8,0.0
DE00000008512,898.7,US00000051108,477.0,687.9,421.7,0.0
NL00000008532,719.0,NL00000050889,650.7,684.9,68.3,0.0
US00000008554,1172.1,US00000051455,489.8,830.9,682.3,0.0
FR00000008593,369.8,NL00000050788,691.9,530.9,322.1,0.0
RU00000008603,961.2,GB00000052082,480.4,720.8,480.8,0.0
DE00000008605,778.3,NL00000050889,650.7,714.5,127.6,0.0
FR00000008632,983.4,GB00000052082,480.4,731.9,503.0,0.0
DE00000008646,1061.8,US00000051108,477.0,769.4,584.8,0.0
US00000004473,641.8,NL00000050788,691.9,666.9,50.1,0.0
RU00000004480,964.2,NL00000050889,650.7,807.5,313.5,0.0
GB00000004508,465.9,NL00000051437,772.5,619.2,306.6,0.0
DE00000004510,879.9,US00000051455,489.8,684.9,390.1,0.0
US00000004511,1288.6,US00000051455,489.8,889.2,798.8,0.0
GB00000004512,925.9,US00000051455,489.8,707.9,436.1,0.0
RU00000004513,679.2,US00000051455,489.8,584.5,189.4,0.0
US00000004514,746.6,US00000051455,489.8,618.2,256.8,0.0
RU00000004530,401.5,DE00000080214,704.2,552.9,302.7,0.0
FR00000004557,661.0,NL00000050889,650.7,655.9,10.3,0.0
GB00000004573,736.9,US00000051455,489.8,613.4,247.1,0.0
NL00000004584,801.1,US00000051455,489.8,645.4,311.3,0.0
NL00000009206,270.7,DE00000080214,704.2,487.5,433.5,0.0
RU00000009209,586.2,NL00000050889,650.7,618.5,64.5,0.0
DE00000009220,463.5,DE00000080214,704.2,583.9,240.7,0.0
DE00000009234,957.5,GB00000052082,480.4,718.9,477.1,0.0
NL00000009246,1466.7,GB00000052082,480.4,973.5,986.3,0.0
FR00000009273,561.1,NL00000050889,650.7,605.9,89.6,0.0
US00000009276,781.1,GB00000052082,480.4,630.7,300.7,0.0
US00000009278,665.6,US00000051455,489.8,577.7,175.8,0.0
RU00000009283,555.3,NL00000051437,772.5,663.9,217.2,0.0
RU00000009285,620.5,DE00000080214,704.2,662.4,83.7,0.0
RU00000009304,948.2,GB00000052082,480.4,714.3,467.8,0.0
US00000009322,1285.7,NL00000050889,650.7,968.2,635.0,0.0
DE00000009348,419.9,NL00000051437,772.5,596.2,352.6,0.0
FR00000009358,1193.7,GB00000052082,480.4,837.0,713.3,0.0
FR00000009362,1030.4,GB00000052082,480.4,755.4,550.0,0.0
GB00000004605,368.3,NL00000051437,772.5,570.4,404.2,0.0
FR00000004643,458.4,NL00000050788,691.9,575.2,233.5,0.0
NL00000008652,589.0,NL00000050889,650.7,619.9,61.7,0.0
DE00000008676,680.8,US00000051455,489.8,585.3,191.0,0.0
US00000008709,1425.9,US00000051455,489.8,957.9,936.1,0.0
US00000008717,1009.3,NL00000050889,650.7,830.0,358.6,0.0
GB00000008736,549.3,NL00000051437,772.5,660.9,223.2,0.0
FR00000008737,845.4,GB00000052082,480.4,662.9,365.0,0.0
GB00000008738,442.3,NL00000051437,772.5,607.4,330.2,0.0
GB00000008739,419.9,NL00000051437,772.5,596.2,352.6,0.0
US00000008741,494.8,NL00000050788,691.9,593.4,197.1,0.0
US00000008742,1065.3,US00000051108,477.0,771.2,588.3,0.0
FR00000008757,763.9,US00000051455,489.8,626.9,274.1,0.0
