bull_id,bull_ebv,cow_id,cow_ebv,average_ebv,difference_ebv,inbreeding_level,fitness
US00000000795,1867.9,US00000069140,1756.6,1812.2,111.3,0.0,1472.02001953125
US00000000795,1867.9,GB00000083297,1725.9,1796.9,142.0,0.0,1465.9200439453125
US00000000795,1867.9,NL00000074190,1599.5,1733.7,268.4,0.0,1440.6400146484375
US00000000795,1867.9,RU00000051688,1511.8,1689.9,356.1,0.0,1423.1400146484375
US00000000795,1867.9,NL00000066836,1401.2,1634.5,466.7,0.0,1400.93994140625
US00000000795,1867.9,RU00000072918,1391.1,1629.5,476.8,0.0,1398.9599609375
US00000000795,1867.9,DE00000067375,1333.0,1600.5,534.9,0.0,1387.3800048828125
US00000000795,1867.9,FR00000052823,1333.2,1600.5,534.7,0.0,1387.340087890625
US00000000795,1867.9,NL00000081403,1326.8,1597.4,541.1,0.0,1386.1400146484375
NL00000051437,772.5,DE00000028635,2046.2,1409.3,1273.7,0.0,1382.1800537109375
US00000000795,1867.9,NL00000062258,1290.2,1579.0,577.7,0.0,1378.7401123046875
US00000000795,1867.9,NL00000075328,1279.3,1573.6,588.6,0.0,1376.5999755859375
US00000000795,1867.9,DE00000072670,1278.4,1573.2,589.5,0.0,1376.4599609375
US00000000795,1867.9,US00000062300,1249.0,1558.5,618.9,0.0,1370.580078125
US00000000795,1867.9,US00000052609,1237.9,1552.9,630.0,0.0,1368.320068359375
US00000000795,1867.9,US00000073006,1235.7,1551.8,632.2,0.0,1367.880126953125
US00000000795,1867.9,RU00000051679,1224.4,1546.2,643.5,0.0,1365.659912109375
US00000000795,1867.9,NL00000068303,1222.7,1545.3,645.2,0.0,1365.2801513671875
US00000000795,1867.9,NL00000090301,1215.4,1541.7,652.5,0.0,1363.8599853515625
US00000000795,1867.9,FR00000052648,1213.4,1540.7,654.5,0.0,1363.4599609375
US00000000795,1867.9,FR00000062134,1203.6,1535.8,664.3,0.0,1361.5
US00000000795,1867.9,GB00000084540,1190.5,1529.2,677.4,0.0,1358.8399658203125
US00000000795,1867.9,DE00000083274,1182.8,1525.4,685.1,0.0,1357.340087890625
US00000000795,1867.9,US00000072911,1180.5,1524.2,687.4,0.0,1356.8399658203125
US00000000795,1867.9,FR00000056019,1173.6,1520.8,694.3,0.0,1355.5
US00000000795,1867.9,DE00000093579,1164.5,1516.2,703.4,0.0,1353.6400146484375
US00000000795,1867.9,GB00000072899,1141.0,1504.5,726.9,0.0,1348.97998046875
US00000000795,1867.9,FR00000065594,1138.3,1503.1,729.6,0.0,1348.4000244140625
US00000000795,1867.9,DE00000062330,1136.2,1502.0,731.7,0.0,1347.93994140625
US00000000795,1867.9,FR00000083284,1134.6,1501.2,733.3,0.0,1347.6199951171875
US00000000795,1867.9,RU00000067796,1125.1,1496.5,742.8,0.0,1345.760009765625
US00000000795,1867.9,RU00000057191,1120.7,1494.3,747.2,0.0,1344.880126953125
US00000000795,1867.9,US00000066832,1116.0,1492.0,751.9,0.0,1343.97998046875
US00000000795,1867.9,FR00000054429,1113.7,1490.8,754.2,0.0,1343.47998046875
NL00000051437,772.5,FR00000011732,1981.1,1376.8,1208.6,0.0,1343.1600341796875
US00000000795,1867.9,DE00000051680,1111.0,1489.5,756.9,0.0,1342.97998046875
US00000000795,1867.9,RU00000077029,1107.9,1487.9,760.0,0.0,1342.320068359375
US00000000795,1867.9,DE00000051730,1104.1,1486.0,763.8,0.0,1341.56005859375
US00000000795,1867.9,US00000081054,1095.8,1481.9,772.1,0.0,1339.9400634765625
US00000000795,1867.9,RU00000083346,1094.1,1481.0,773.8,0.0,1339.56005859375
US00000000795,1867.9,GB00000092099,1086.9,1477.4,781.0,0.0,1338.1199951171875
US00000000795,1867.9,US00000055054,1086.1,1477.0,781.8,0.0,1337.9599609375
US00000000795,1867.9,NL00000066902,1082.6,1475.2,785.3,0.0,1337.219970703125
US00000000795,1867.9,RU00000062177,1079.4,1473.7,788.5,0.0,1336.659912109375
US00000000795,1867.9,GB00000084980,1079.1,1473.5,788.8,0.0,1336.56005859375
US00000000795,1867.9,FR00000051733,1074.2,1471.0,793.7,0.0,1335.5400390625
US00000000795,1867.9,FR00000059446,1059.7,1463.8,808.2,0.0,1332.6800537109375
US00000000795,1867.9,NL00000082739,1059.7,1463.8,808.2,0.0,1332.6800537109375
US00000000795,1867.9,RU00000062301,1057.9,1462.9,810.0,0.0,1332.320068359375
US00000000795,1867.9,FR00000087644,1056.8,1462.4,811.1,0.0,1332.1400146484375
US00000000795,1867.9,FR00000079110,1056.3,1462.1,811.6,0.0,1332.0
US00000000795,1867.9,FR00000086683,1054.8,1461.4,813.1,0.0,1331.739990234375
US00000000795,1867.9,NL00000078316,1047.0,1457.5,820.9,0.0,1330.1800537109375
US00000000795,1867.9,NL00000079784,1045.9,1456.9,822.0,0.0,1329.9200439453125
US00000000795,1867.9,RU00000080388,1043.6,1455.8,824.3,0.0,1329.5
US00000000795,1867.9,US00000062292,1043.5,1455.7,824.4,0.0,1329.43994140625
US00000000795,1867.9,US00000056066,1041.8,1454.9,826.1,0.0,1329.1400146484375
US00000000795,1867.9,US00000090928,1041.2,1454.5,826.7,0.0,1328.93994140625
US00000000795,1867.9,RU00000075745,1040.5,1454.2,827.4,0.0,1328.8399658203125
US00000000795,1867.9,RU00000067259,1039.6,1453.8,828.3,0.0,1328.7000732421875
US00000000795,1867.9,DE00000081452,1039.1,1453.5,828.8,0.0,1328.56005859375
US00000000795,1867.9,RU00000083194,1036.7,1452.3,831.2,0.0,1328.080078125
US00000000795,1867.9,US00000088876,1036.3,1452.1,831.6,0.0,1328.0
US00000000795,1867.9,RU00000062327,1023.5,1445.7,844.4,0.0,1325.43994140625
US00000000795,1867.9,NL00000064400,1022.2,1445.1,845.7,0.0,1325.219970703125
US00000000795,1867.9,RU00000072693,1020.9,1444.4,847.0,0.0,1324.9200439453125
US00000000795,1867.9,RU00000068039,1020.7,1444.3,847.2,0.0,1324.880126953125
US00000000795,1867.9,US00000062291,1017.5,1442.7,850.4,0.0,1324.239990234375
US00000000795,1867.9,NL00000083277,1015.7,1441.8,852.2,0.0,1323.880126953125
US00000000795,1867.9,DE00000070694,1015.2,1441.6,852.7,0.0,1323.820068359375
US00000000795,1867.9,GB00000062310,1014.9,1441.4,853.0,0.0,1323.719970703125
US00000000795,1867.9,GB00000090683,1005.6,1436.8,862.3,0.0,1321.9000244140625
US00000000795,1867.9,FR00000057778,1001.9,1434.9,866.0,0.0,1321.1199951171875
US00000000795,1867.9,DE00000078838,1001.0,1434.5,866.9,0.0,1320.97998046875
US00000000795,1867.9,US00000062265,997.8,1432.9,870.1,0.0,1320.340087890625
US00000000795,1867.9,DE00000051753,995.3,1431.6,872.6,0.0,1319.800048828125
US00000000795,1867.9,RU00000083239,990.3,1429.1,877.6,0.0,1318.800048828125
US00000000795,1867.9,NL00000083833,989.8,1428.9,878.1,0.0,1318.739990234375
US00000000795,1867.9,NL00000072891,983.9,1425.9,884.0,0.0,1317.5201416015625
US00000000795,1867.9,FR00000062320,976.5,1422.2,891.4,0.0,1316.0400390625
US00000000795,1867.9,RU00000070699,976.6,1422.2,891.3,0.0,1316.02001953125
US00000000795,1867.9,DE00000071150,976.6,1422.2,891.3,0.0,1316.02001953125
US00000000795,1867.9,DE00000086405,976.6,1422.2,891.3,0.0,1316.02001953125
US00000000795,1867.9,FR00000055870,976.6,1422.2,891.3,0.0,1316.02001953125
US00000000795,1867.9,DE00000084508,976.6,1422.2,891.3,0.0,1316.02001953125
US00000000795,1867.9,RU00000054422,976.6,1422.2,891.3,0.0,1316.02001953125
US00000000795,1867.9,GB00000082834,969.9,1418.9,898.0,0.0,1314.719970703125
US00000000795,1867.9,FR00000082677,965.0,1416.5,902.9,0.0,1313.780029296875
US00000000795,1867.9,NL00000083306,957.5,1412.7,910.4,0.0,1312.239990234375
US00000000795,1867.9,US00000084492,954.8,1411.4,913.1,0.0,1311.739990234375
US00000000795,1867.9,DE00000071662,954.5,1411.2,913.4,0.0,1311.6400146484375
US00000000795,1867.9,DE00000072951,953.9,1410.9,914.0,0.0,1311.5201416015625
US00000000795,1867.9,RU00000083092,953.6,1410.8,914.3,0.0,1311.5
US00000000795,1867.9,GB00000072794,952.3,1410.1,915.6,0.0,1311.199951171875
US00000000795,1867.9,RU00000080643,951.1,1409.5,916.8,0.0,1310.9599609375
US00000000795,1867.9,DE00000072862,948.2,1408.1,919.7,0.0,1310.419921875
US00000000795,1867.9,FR00000051700,943.1,1405.5,924.8,0.0,1309.3599853515625
US00000000795,1867.9,GB00000072828,937.5,1402.7,930.4,0.0,1308.239990234375
US00000000795,1867.9,RU00000073988,930.4,1399.2,937.5,0.0,1306.8599853515625
US00000000795,1867.9,FR00000078854,930.2,1399.1,937.7,0.0,1306.820068359375
US00000000795,1867.9,US00000059587,929.4,1398.7,938.5,0.0,1306.659912109375
US00000000795,1867.9,GB00000067733,924.4,1396.2,943.5,0.0,1305.659912109375
US00000000795,1867.9,RU00000084896,920.6,1394.2,947.3,0.0,1304.8199462890625
US00000000795,1867.9,US00000062299,916.1,1392.0,951.8,0.0,1303.9599609375
US00000000795,1867.9,NL00000061434,913.1,1390.5,954.8,0.0,1303.3599853515625
US00000000795,1867.9,DE00000080261,912.9,1390.4,955.0,0.0,1303.320068359375
US00000000795,1867.9,FR00000058359,905.2,1386.6,962.7,0.0,1301.820068359375
US00000000795,1867.9,NL00000051468,905.0,1386.5,962.9,0.0,1301.780029296875
US00000000795,1867.9,DE00000083858,904.2,1386.1,963.7,0.0,1301.6199951171875
US00000000795,1867.9,NL00000072847,904.6,1386.2,963.3,0.0,1301.6199951171875
US00000000795,1867.9,NL00000089936,903.9,1385.9,964.0,0.0,1301.5201416015625
US00000000795,1867.9,US00000083308,903.6,1385.8,964.3,0.0,1301.5
US00000000795,1867.9,US00000090006,898.7,1383.3,969.2,0.0,1300.47998046875
US00000000795,1867.9,RU00000067831,892.2,1380.1,975.7,0.0,1299.219970703125
US00000000795,1867.9,DE00000054770,892.6,1380.2,975.3,0.0,1299.219970703125
US00000000795,1867.9,NL00000083585,891.8,1379.9,976.1,0.0,1299.1400146484375
US00000000795,1867.9,RU00000072898,891.8,1379.9,976.1,0.0,1299.1400146484375
US00000000795,1867.9,NL00000074533,891.7,1379.8,976.2,0.0,1299.080078125
US00000000795,1867.9,DE00000063378,884.7,1376.3,983.2,0.0,1297.6800537109375
US00000000795,1867.9,NL00000065259,881.7,1374.8,986.2,0.0,1297.080078125
US00000000795,1867.9,GB00000072859,878.5,1373.2,989.4,0.0,1296.43994140625
US00000000795,1867.9,US00000062271,877.4,1372.7,990.5,0.0,1296.260009765625
US00000000795,1867.9,RU00000074896,873.9,1370.9,994.0,0.0,1295.5201416015625
US00000000795,1867.9,GB00000075959,872.9,1370.4,995.0,0.0,1295.320068359375
US00000000795,1867.9,NL00000053601,872.2,1370.1,995.7,0.0,1295.219970703125
US00000000795,1867.9,FR00000085992,871.8,1369.9,996.1,0.0,1295.1400146484375
US00000000795,1867.9,GB00000062090,870.6,1369.2,997.3,0.0,1294.8199462890625
US00000000795,1867.9,RU00000072768,869.1,1368.5,998.8,0.0,1294.56005859375
US00000000795,1867.9,RU00000079440,867.7,1367.8,1000.2,0.0,1294.2801513671875
US00000000795,1867.9,GB00000064871,867.7,1367.8,1000.2,0.0,1294.2801513671875
US00000000795,1867.9,NL00000072936,865.4,1366.7,1002.5,0.0,1293.8599853515625
US00000000795,1867.9,US00000051714,864.9,1366.4,1003.0,0.0,1293.719970703125
US00000000795,1867.9,US00000072567,864.4,1366.2,1003.5,0.0,1293.659912109375
US00000000795,1867.9,DE00000072719,863.9,1365.9,1004.0,0.0,1293.5201416015625
US00000000795,1867.9,DE00000072994,862.7,1365.3,1005.2,0.0,1293.2801513671875
US00000000795,1867.9,RU00000074541,860.7,1364.3,1007.2,0.0,1292.880126953125
US00000000795,1867.9,GB00000083232,857.9,1362.9,1010.0,0.0,1292.320068359375
US00000000795,1867.9,US00000062294,856.3,1362.1,1011.6,0.0,1292.0
US00000000795,1867.9,US00000051572,856.3,1362.1,1011.6,0.0,1292.0
US00000000795,1867.9,GB00000073515,855.2,1361.6,1012.7,0.0,1291.820068359375
US00000000795,1867.9,FR00000076179,854.7,1361.3,1013.2,0.0,1291.6800537109375
US00000000795,1867.9,NL00000069237,854.3,1361.1,1013.6,0.0,1291.5999755859375
US00000000795,1867.9,RU00000082182,853.4,1360.7,1014.5,0.0,1291.4599609375
US00000000795,1867.9,US00000062545,851.7,1359.8,1016.2,0.0,1291.080078125
US00000000795,1867.9,FR00000082502,851.7,1359.8,1016.2,0.0,1291.080078125
US00000000795,1867.9,NL00000052904,849.4,1358.7,1018.5,0.0,1290.659912109375
US00000000795,1867.9,GB00000069495,847.4,1357.7,1020.5,0.0,1290.260009765625
US00000000795,1867.9,RU00000072909,847.2,1357.6,1020.7,0.0,1290.219970703125
US00000000795,1867.9,US00000083348,846.8,1357.4,1021.1,0.0,1290.1400146484375
US00000000795,1867.9,DE00000083316,845.4,1356.7,1022.5,0.0,1289.8599853515625
US00000000795,1867.9,DE00000058036,845.2,1356.6,1022.7,0.0,1289.820068359375
US00000000795,1867.9,US00000062173,843.7,1355.8,1024.2,0.0,1289.47998046875
US00000000795,1867.9,RU00000062544,835.2,1351.6,1032.7,0.0,1287.820068359375
US00000000795,1867.9,GB00000092993,835.1,1351.5,1032.8,0.0,1287.7601318359375
